Date,peak_MW,daily_energy_MU,temp_min,temp_mean,temp_max,solar_radiation,cloud_cover,windspeed
2019-04-18,4973.0,98.6,17.69500000000005,22.587270000000046,27.96404000000001,1065189.0,0.20665205,1.3699229433837512
2019-04-19,5248.0,104.6,18.941700000000026,25.225900000000024,31.422240000000045,1045738.8,0.030884689,1.6812931908963893
2019-04-20,5462.0,112.8,19.864000000000036,26.86724000000004,33.43300000000005,1031375.8,0.28703284,0.925427483496996
2019-04-21,5347.0,108.5,21.35418000000004,28.520700000000037,35.62762000000004,1073331.1,0.21046905,1.182102438008698
2019-04-22,6076.0,122.1,22.422720000000027,29.903650000000027,37.23058000000003,1069614.0,0.115532674,1.3658936101026802
2019-04-23,6233.0,129.0,23.504170000000045,31.343740000000025,39.34142000000003,1039912.75,0.313751,0.3512755265649778
2019-04-24,5547.0,108.6,22.97802000000001,29.52725000000004,38.21860000000004,993150.25,0.28489038,1.7073286269757473
2019-04-25,6305.0,126.4,22.65900000000005,29.33563000000004,37.585080000000005,1071182.4,0.2408946,1.33154273127142
2019-04-26,6508.0,132.7,23.058340000000044,30.34924000000001,37.70782000000003,1151934.4,0.13204502,2.5064594497894137
2019-04-27,6660.0,133.3,22.99580000000003,30.64965000000001,38.53594000000004,1130077.5,0.044319455,3.049573630063398
2019-04-28,6740.0,126.3,22.71526,30.656270000000006,38.99822,1158730.5,0.13849431,2.846088814470703
2019-04-29,6895.0,136.0,22.726800000000026,31.22607000000005,39.49880000000002,1074111.1,0.24805959,1.7661151611534744
2019-04-30,6656.0,132.5,24.609860000000022,31.719719999999995,39.17202000000003,1045480.06,0.30582094,2.6565669690451923
2019-05-01,7129.0,134.3,24.04740000000004,31.15637000000004,38.691250000000025,982167.75,0.14171493,1.768756960679652
2019-05-02,6611.0,135.9,21.396140000000003,28.775660000000016,36.22183000000001,1067989.0,0.26832208,1.5298779271189695
2019-05-03,7077.0,141.2,21.707700000000045,29.049680000000023,36.65124000000003,1182997.5,0.14369155,1.73987055529617
2019-05-04,7000.0,144.5,21.54843,29.47183000000001,36.97900000000004,1158780.6,0.009546455,2.5368560123938293
2019-05-05,7081.0,139.6,22.018550000000005,30.88906000000003,38.95654000000002,1193218.6,0.044541854,1.024333525901885
2019-05-06,7293.0,150.1,21.96770000000004,30.847470000000044,39.67830000000004,1130304.5,9.07e-05,1.4936175865989256
2019-05-07,7229.0,156.9,22.797900000000027,31.8716,40.49120000000005,1153762.6,0.07655665,0.9718179185316708
2019-05-08,7735.0,169.9,23.48382000000004,32.547270000000026,41.22314,1152024.4,0.16322114,1.3341352874483952
2019-05-09,7611.0,168.9,23.618550000000027,33.53964000000002,41.47580000000005,1034484.94,0.4310219,1.94354856288028
2019-05-10,7495.0,152.1,24.40276,31.82647000000003,40.19436000000002,936845.0,0.37787974,1.003905869654259
2019-05-11,7359.0,152.0,23.63986,29.64556000000005,36.264520000000005,1094973.8,0.51997113,1.575245315458443
2019-05-12,7434.0,162.4,24.146420000000035,30.886600000000044,37.46063000000004,1011733.94,0.45920348,1.365934808952134
2019-05-13,7698.0,156.3,23.20666,29.86596000000003,38.23947000000004,1076774.4,0.807411,0.6412274742373312
